company,revenue_2025_LTM_outside_USD,pct_of_consolidated_outside_revenue,EV_2025_LTM_USD,pct_of_consolidated_EV,rank_by_revenue,rank_by_EV
Microsoft,273250000000,55.9,3850000000000,46.5,1,2
Nvidia,67070000000,13.7,3100000000000,37.5,2,1
Oracle,52000000000,10.6,420000000000,5.1,3,3
Intel,49500000000,10.1,145000000000,1.8,4,6
AMD,26750000000,5.5,290000000000,3.5,5,4
OpenAI,11970000000,2.4,300000000000,3.6,6,5
CoreWeave,3000000000,0.6,70000000000,0.8,7,7
xAI,800000000,0.2,50000000000,0.6,8,8
Nebius,584000000,0.1,27610000000,0.3,9,9
Anysphere,500000000,0.1,9900000000,0.1,10,10
Mistral,300000000,0.1,6000000000,0.1,11,11
Figure AI,150000000,0.0,3500000000,0.0,12,12
Harvey AI,120000000,0.0,1500000000,0.0,13,14
Ambience Healthcare,80000000,0.0,1000000000,0.0,14,15
Nscale,50000000,0.0,500000000,0.0,15,15

